,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
10,C([C@]1(C([N+](C(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])(C([C@](C([H])([H])[H])(O1)[H])([H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a70293010>,6.5354,,True,True,False,
11,C(Oc1c(c(c(c(c1[C@@]1(C([C@](C([H])([H])[H])(C(C(N1C(=O)C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a6065fd30>,5.79148,,True,True,False,
12,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C([C@](C(F)([H])[H])(C2(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])C1([H])[H])[H])([H])[H],<fegrow.package.RMol object at 0x7f0b3e3ab920>,5.39305,,True,True,False,
13,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(C(C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f097c618a40>,6.2466,,True,True,False,
14,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N@@+]1(C([C@@]3(C([C@]1(C(O3)([H])[H])[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c5cf7e0>,6.43812,,True,True,False,
15,C([C@]1(C([N@+](C(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([C@@](C([H])([H])[H])(C(O1)([H])[H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a6063c2c0>,6.46639,,True,True,False,
16,C([C@]1(C([C@](c2c(c(c(c(c2[H])[H])[H])[H])[H])(N(C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])C1([H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f097c618310>,5.55057,,True,True,False,
17,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1nnc(n1C([H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a702816c0>,6.0697,,True,True,False,
18,C([C@]1(C(C([C@@]2(C(C(N(C(=O)C(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])([H])[H])C2([H])[H])([H])[H])([H])[H])C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f097c3e2200>,5.41118,,True,True,False,
19,O=C(C([N@+]1(C(c2c(c(c(Cl)c(c2[C@](C(=O)N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])[H])(C1([H])[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])N(C(C(c1c(c(c(C(F)(F)[H])c(c1[H])[H])[H])[H])([H])[H])([H])[H])[H],<fegrow.package.RMol object at 0x7f0a1c796a70>,6.5702,,True,True,False,
20,C(C(C(=O)N1C(C(C(c2c(c(c(N(C(=O)C(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])([H])[H])N(C([H])([H])[H])c3c(c(c(c(Cl)c3[H])[H])[H])[H])c(c12)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c3f0f90>,6.57109,,True,True,False,
21,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(nn(C([H])([H])[H])c1[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09dc38c9a0>,6.12738,,True,True,False,
22,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(c2c(Cl)c(c(c(c2C1([H])[H])[H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f0a7029ee30>,5.48691,,True,True,False,
23,C([C@]1(C([N@@+](C(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])(C(C(O1)([H])[H])([H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a606c5ad0>,6.52484,,True,True,False,
24,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(C(OC2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a60626b10>,6.41269,,True,True,False,
25,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(nn(C([H])([H])[H])c2[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a70290770>,6.98135,,True,True,False,
26,O=C1N([C@]2(C([C@](c3c(c(c(c(c3Cl)[H])[H])[H])[H])(C2([H])[H])[H])([H])[H])C(=O)N1c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f0a606a0ea0>,5.70965,,True,True,False,
27,C(C([C@]1(C([C@@](C(F)(F)F)(C(C(N1C(=O)C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a606c62f0>,5.40479,,True,True,False,
28,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(F)C(OC2([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a70281350>,6.48002,,True,True,False,
29,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2nc(nc(n2)[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a702c6ac0>,6.72514,,True,True,False,
30,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(c2c(c(c(c(c2[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f097c3e3010>,6.38924,,True,True,False,
31,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1nnc(o1)[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1c(c(nc(n1)[H])[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f09bc41e930>,7.19048,,True,True,False,
32,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N@+]1(C(C(OC(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc41e250>,6.35372,,True,True,False,
33,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(C([C@@]1(c1c(c(c(c(F)c1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f0964525c60>,5.66257,,True,True,False,
34,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(nn(C([H])([H])[H])n1)[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09dc794c20>,6.13842,,True,True,False,
35,N#CC(c1c(c(c(N(C(c2c(c(c(c(Cl)c2[H])[H])[H])[H])([H])[H])C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H])([H])[H],<fegrow.package.RMol object at 0x7f09dc664ef0>,6.06185,,True,True,False,
36,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(c(n(C([H])([H])[H])n1)[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0b3e1cd8f0>,6.05399,,True,True,False,
37,N#Cc1c(c(c(N(C(c2c(c(c(c(Cl)c2[H])[H])[H])[H])([H])[H])C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f0a606a2610>,6.17735,,True,True,False,
38,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(C(S(=O)(=O)C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc635df0>,6.7765,,True,True,False,
39,C(C(O[C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C(=O)N(C([H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc6358a0>,6.25716,,True,True,False,
40,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(C#N)([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09dc5b76a0>,6.13147,,True,True,False,
41,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N+]1(C(C(S(=O)(=O)C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc41d530>,6.46916,,True,True,False,
42,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(c2nn[n-]n2)([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a606a2d90>,6.29353,,True,True,False,
43,C(C(n1nc(c(c1C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C([H])([H])[H])[H])([H])[H])c2c(c(F)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0b3e1cda80>,6.23085,,True,True,False,
44,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(Cl)([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a606a31f0>,6.49988,,True,True,False,
45,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC([H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc41c090>,6.24037,,True,True,False,
46,C(C(S(=O)(=O)N([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C(=O)N(C([H])([H])[H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a70292070>,6.49035,,True,True,False,
47,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C([H])([H])[H])[H])([H])[H])c2c(c(F)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a7170f740>,6.00977,,True,True,False,
48,C([C@]1(C(C(N(C(=O)C(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])([H])[H])C(C(O1)([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c3f04f0>,4.80842,,True,True,False,
49,C(N1C([C@@](C(=O)N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])[H])(c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c3f1490>,5.77799,,True,True,False,
50,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(c2sc(c(c2C1([H])[H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f09bc635a30>,5.09864,,True,True,False,
51,C(c1nnc(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C(N(c3c(c(nc(n3)[H])[H])[H])[H])([H])[H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])o1)([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c3f2160>,6.81634,,True,True,False,
52,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(c(nc(n2)[H])[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc7a3330>,6.82731,,True,True,False,
53,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(C([N+]1(C(C3(C(OC3([H])[H])([H])[H])C1([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1nc(c(c(n1)[H])[H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f0a3c3f3060>,6.76437,,True,True,False,
54,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(nc(c(n2)[H])[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c3f16c0>,6.94177,,True,True,False,
55,C(n1c(c(c(C(N2C([C@]3(C(C(N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C3=O)([H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])n1)[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f097c3e1fd0>,5.9511,,True,True,False,
56,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(C(SC([C@]1(C(F)(F)F)[H])([H])[H])([H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f0a704cf060>,5.27031,,True,True,False,
57,C(N(C(=O)C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c2c(nc(C([H])([H])[H])s2)[H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc6356c0>,6.81557,,True,True,False,
58,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1c(c(nc(n1)[H])[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc41cc70>,6.11844,,True,True,False,
59,C(OC([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1nc(c(n1[H])[H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc39f7e0>,6.31569,,True,True,False,
60,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C(c2sc(c(c2C1([H])[H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f0a6063e570>,5.09864,,True,True,False,
61,O=C1c2c(c(c(Cl)c(c2[C@@]2(C(N1C(c1c(c(nnc1[H])[H])[H])([H])[H])([H])[H])C(=O)N(c1c(nc(c3c(c(c(c(c13)[H])[H])[H])[H])[H])[H])C([C@@]2(C(N(c1nnc(s1)[H])[H])([H])[H])[H])([H])[H])[H])[H])[H],<fegrow.package.RMol object at 0x7f0b3e1cdd50>,6.52991,,True,True,False,
62,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N@@+]1(C(C(C3(C(OC3([H])[H])([H])[H])C1([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f099c469170>,6.74183,,True,True,False,
63,C(n1c(c(c(C(N2C([C@]3(C(C(N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C3=O)([H])[H])([H])[H])c3c(c(Cl)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])n1)[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a3c3f2a70>,5.9511,,True,True,False,
64,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(C([N+]1(C(C(OC(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C(=O)c1c(c(c(Cl)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a6063c0e0>,6.19513,,True,True,False,
65,C(N(C(=O)C(N1C(=O)C2=C(C(=C(Cl)C([C@]32[C@@]1([C@@]13C(=O)N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(/C/1=C(\F)/[H])([H])[H])[H])([H])[H])[H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc6379c0>,5.9545,,True,True,False,
66,O=C(C(c1c(nc(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])[H])N1C(C([C@]2(C(C(C(F)(F)C([C@]2(C1([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H],<fegrow.package.RMol object at 0x7f09dc5e04f0>,5.82527,,True,True,False,
67,C([N+](C(C(N1C([C@@]2(C(=O)N(c3c(nc(c4c(c(c(c(c34)[H])[H])[H])[H])[H])[H])C([C@@]2(C(OC(C2(F)C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])c2c(c(Cl)c(c(c2C1=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc39e250>,6.53424,,True,True,False,
68,C(c1nc(C(N2C([C@@]3(C(=O)N(c4c(nc(c5c(c(c(c(c45)[H])[H])[H])[H])[H])[H])C([C@@]3(C([H])([H])[H])[H])([H])[H])c3c(c(F)c(c(c3C2=O)[H])[H])[H])([H])[H])([H])[H])no1)([H])([H])[H],<fegrow.package.RMol object at 0x7f09dc38cb30>,6.17938,,True,True,False,
69,C(C(C(=O)N1C(C(C(c2c(c(c(N(C(c3c(c(c(c(Cl)c3[H])[H])[H])[H])([H])[H])C(=O)C(c3c(nc(c4c(F)c(c(c(c34)[H])[H])[H])[H])[H])([H])[H])c(c12)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f09bc39ed90>,6.22617,,True,True,False,
70,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1nnn(C([H])([H])[H])n1)([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a6063d8a0>,6.11628,,True,True,False,
71,C([C@]1(C(N(c2c(nc(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])C(=O)[C@]21C(N(C(c1nc(c(n1C([H])([H])[H])[H])[H])([H])[H])C(=O)c1c(c(c(F)c(c21)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],<fegrow.package.RMol object at 0x7f0a60690f40>,6.02154,,True,True,False,
